不是很满意,不是满意,46
不太满意,不满意,26
不太好用,不好用,20
没有想象的好,没有好,12
不是太好,不好,12
不是很好用,不是好用,9
没什么效果,没效果,8
不是很清楚,不清楚,8
垃 圾,垃圾,7
不像正品,不正品,7
不怎么好用,不好用,7
不是很理想,不理想,6
不是很灵敏,不是灵敏,6
没有那么好,没有好,6
不是很方便,不是方便,6
没有想象中的好,没有好,6
没想象中的好,没好,5
不太灵敏,不灵敏,5
不太舒服,不舒服,4
不讲诚信,不诚信,4
没有想象中的那么好,没有好,4
没有让我失望,没有失望,4
没有想象的那么好,没有好,4
不怎么满意,不满意,3
不太方便,不方便,3
不太好看,不好看,3
没那么好,没好,3
不算大,不大,3
还是可以,还可以,3
不太结实,不结实,3
没什么问题,没问题,3
不太合适,不合适,3
不是很准确,不准确,3
不是很舒服,不是舒服,3
没有想像中的好,没有好,3
没有说的那么好,没好,3
不是很干净,不是干净,3
不是特别满意,不满意,3
没有想象中好,没有好,3
不太喜欢,不喜欢,3
不太清楚,不清楚,3
不是太满意,不是满意,3
不是很推荐,不推荐,3
不是很高清,不是高清,2
没弄好,没好,2
没平时的价格便宜,没便宜,2
不太明显,不明显,2
不太均匀,不均匀,2
不是很灵,不灵,2
不太一样,不一样,2
不大好用,不好用,2
不是我喜欢,不是喜欢,2
没有想像中好,没有好,2
不太实用,不实用,2
没有售后保障,没保障,2
没有以前好,没好,2
没有想象中那么好,没有好,2
没什么卵用,没用,2
没有效果,没效果,2
不想给差评,不想差评,2
不太干净,不干净,2
不是太喜欢,不是喜欢,2
没有给,没给,2
不如以前好,不如好,2
不太好,不好,2
不太好闻,不好闻,2
没让我失望,没失望,2
不太舒适,不舒适,2
不太新鲜,不新鲜,2
不怎好,不好,2
不怎么好吃,不好吃,2
不太亮,不亮,2
没有图片那么好,没好,2
不怎么好看,不好看,2
不要***受骗,不要受骗,2
不是很平整,不是平整,2
不像是全新,不全新,2
不太适合,不适合,2
不是好,不好,2
没以前的好,没好,2
不太像正品,不正品,2
不是很贴合,不贴合,2
不太给力,不给力,2
不给好评,不好评,2
不够精细,不精细,2
垃  圾,垃圾,2
不是特别好,不是好,2
没原来买的好,没好,2
没有想象的那样好,没有好,2
没有那么快,没有快,2
不是那么好,不是好,2
不够好,不好,2
没有以前的好,没有好,2
没想象的大,没大,1
没有预期的效果好,没好,1
不怎么和电脑匹配,不匹配,1
有点划痕,有划痕,1
有种味道,有味道,1
不太省心,不省心,1
有点问额,有问额,1
没超市便宜,没便宜,1
没有人理,没人理,1
没有出现不满意,没有不满意,1
不要在被他们像傻子一样被忽悠,不要被忽悠,1
不能用来玩游戏,不能玩游戏,1
有很多划痕,有划痕,1
不上智能,不智能,1
不到 保修   还不给我开,不给开,1
不如一块普通垫好用,不好用,1
不够旧版的运用,不好用,1
有一块油斑,有油斑,1
没有打磨好,没有好,1
不太积极,不积极,1
结了块,结块,1
没有想象中的那么好用,没有那么好用,1
有些小刮痕,有刮痕,1
不太认真,不认真,1
没有间隔性的停顿,没有停顿,1
没有别人说的那么好,没有那么好,1
不过系统好像不是太流畅,不太流畅,1
不敢确认是正品,不敢正品,1
一分价钱一分货,一分钱一分货,1
不是太平整,不太平整,1
有很明显的划痕,有划痕,1
没有给个答复,没给答复,1
不要相信那些好评,不要好评,1
老是没有,老没有,1
没有送,没送,1
没几天就不能用,没不能用,1
没一个有用,没有用,1
选择对,选对,1
没有宣传的那么清晰,没那么清晰,1
一直在用,一直用,1
有咯吱咯吱响声,有响声,1
有咚咚咚的声音,有声音,1
有两条刮痕,有刮痕,1
缺陷太大,缺陷大,1
需要加强,需加强,1
怀疑是不是二手货,怀疑二手货,1
不大均匀,不均匀,1
费老事,费事,1
不太耐用,不耐用,1
心好累,心累,1
有一点点误差,有误差,1
遇到故障,遇故障,1
遇到小故障,遇故障,1
没右边那个用的清爽,没清爽,1
没有多大用处,没有用处,1
没有乐2好,没有好,1
没有预期的好看,没有好看,1
不是很喜欢,不喜欢,1
没以前好,没好,1
不是很够用,不是够用,1
不像朋友从国外带来那细腻,不细腻,1
没解释清楚,没清楚,1
不好有杂音不是很理想,不理想,1
不如我在小商店买的质量好,不好,1
不能算是个合格,不能合格,1
不太准,不准,1
不能正常分区,不能分区,1
不一样平,不平,1
不太清晰,不清晰,1
没有吉列的好用,没有好用,1
没说得这么好,没好,1
没想象那么好,没好,1
不怎么好松动,不好松动,1
不起很好,不很好,1
没有想像的那么好,没有好,1
不说 就知道让我花钱买杀毒软件还有屏幕膜 真的 你们比不过***是有原因的 就冲这服务态度 我也不会给你好评,不会好评,1
没有包装好,没好,1
不是很严密,不是严密,1
不买看不见,不看不见,1
不是安全,不安全,1
不显笨重,不笨重,1
没有宣传的效果好,没好,1
不太顺手,不顺手,1
没有r9s好用,没有好用,1
不是太足,不是足,1
不太可靠,不可靠,1
没有想像的好,没有好,1
不是很实用,不是实用,1
没有损坏也没有异味,没异味,1
没有损坏,没损坏,1
不能要求太高,不能太高,1
不是那种静音,不是静音,1
不很清晰,不清晰,1
不太推荐,不推荐,1
没有发布会演示的那么好,没有好,1
没有用普通锅炸的好,没有好,1
不太有用,不有用,1
不能及时,不及时,1
没有责任心,没责任心,1
不怎么兼容,不兼容,1
不要再***受骗,不要受骗,1
不算便宜,不便宜,1
没我上班用的腾达f9好,没好,1
不如网页上看看好,不如好,1
不提放心,不放心,1
不太保值,不保值,1
没有想的那么好,没有好,1
不是很清,不清,1
没一次顺心,没顺心,1
不是特别好看,不好看,1
没有那么清晰,没有清晰,1
不太好拧,不好拧,1
没原装充电快,没充电快,1
没有弄好,没有好,1
不是那么高,不是高,1
不是很柔软,不柔软,1
不用犹豫,不犹豫,1
不如自己买快,不如快,1
不会这么慢,不会慢,1
没有以前在五星电器买的好,没有好,1
不很愉快,不愉快,1
没如承诺的准时,没准时,1
没处理干净,没干净,1
不是特别防晒,不防晒,1
不能把绕耳的线绕在耳朵上 不是很满意,不是满意,1
没那么长,没长,1
不太准确,不准确,1
不是太实用,不实用,1
不特别好,不好,1
不是那么清晰,不是清晰,1
没有现在用的mx518准,没有准,1
不算实惠,不实惠,1
不是佷好用,不是好用,1
不如体式的方便,不如方便,1
不到 快递服务不是一半的差,不是差,1
不够流畅,不流畅,1
不是即插即玩骗人,不是骗人,1
不那么耐用,不耐用,1
没有之前那个的壶盖好,没有好,1
没要求就是一普通,没普通,1
不要让大家失望,不要失望,1
不能太苛刻,不能苛刻,1
没以前用,没好用,1
不算特便宜,不算便宜,1
不算小,不小,1
不太正规,不正规,1
不晓得好评,不好评,1
无法自然关闭,无法关闭,1
不敢说是假货,不敢假货,1
不要出现第二次花屏,不要花屏,1
不事先说明不满意,不不满意,1
没有什么问题,没有问题,1
没有按预定时间送达,没有送达,1
没有我以前的好,没有好,1
没发保证,没保证,1
没有觉得说的那么神奇,没有神奇,1
没有我想象中的那么好,没有好,1
不太习惯,不习惯,1
不是自己心仪,不是心仪,1
不能完全干净,不能干净,1
不要在***受骗,不要受骗,1
不太智能,不智能,1
不是很人性化,不是人性化,1
前后对不齐,前后不齐,1
没有金属边质耐磨,没有耐磨,1
不如我一百多的网件好用,不如好用,1
不怎么经得用,不经得用,1
没有想象的那么清晰,没有清晰,1
没有图片看上去好,没好,1
不是很长久,不是长久,1
没有预期的好用,没有好用,1
没有形容的那么好,没有好,1
没看清楚,没清楚,1
失所望,失望,1
伤人,伤易人,1
不那么紧绷,不紧绷,1
有很多指纹,有指纹,1
